Data	mes	grnd3	elet6	bbas3	petr4	csna3
05/12/2012	dez	15.25	9.15	22.45	18.94	10.58
06/12/2012	dez	15.3	9.16	22.36	18.7	10.5
07/12/2012	dez	15.28	9.2	22.84	19.08	10.72
10/12/2012	dez	15.21	9.3	23	19.57	11.26
11/12/2012	dez	15.09	9.52	23	19.99	11.5
12/12/2012	dez	15	9.65	23.2	19.85	11.63
13/12/2012	dez	15	9.6	22.56	19.57	11.46
14/12/2012	dez	14.99	9.74	22.38	20.21	11.61
17/12/2012	dez	15.2	9.83	22.28	19.92	11.62
18/12/2012	dez	15.27	9.93	22.98	20.17	12.21
19/12/2012	dez	15.4	10.01	24.2	20.93	12.14
20/12/2012	dez	16.05	9.98	25	21.05	12.01
21/12/2012	dez	16.05	10.25	25.2	20.69	11.73
26/12/2012	dez	16.23	10.47	25	20.06	11.78
27/12/2012	dez	16.2	10.44	25.06	19.41	11.79
28/12/2012	dez	16.49	10.48	25.6	19.52	11.86
02/01/2013	jan	16.43	10.95	25.8	19.69	12.62
03/01/2013	jan	16.11	11.2	26.31	20.4	12.8
04/01/2013	jan	16.3	11.22	26	20.48	12.26
07/01/2013	jan	16.8	10.69	26.15	20.08	12.26
08/01/2013	jan	16.85	9.69	26.45	19.5	12.15
09/01/2013	jan	16.88	10.11	26.7	19.68	12.49
10/01/2013	jan	16.76	10.29	26.3	19.83	12.71
11/01/2013	jan	16.9	10.65	25.98	19.88	12.62
14/01/2013	jan	17.16	10.8	26.93	19.85	12.7
15/01/2013	jan	17.15	11.16	26.7	19.82	12.47
16/01/2013	jan	17.35	11.47	26.86	19.84	12.44
17/01/2013	jan	17.5	11.76	26.81	19.71	11.98
18/01/2013	jan	17.46	12.23	26.2	19.58	12
21/01/2013	jan	17.48	12.9	25.93	19.39	11.74
22/01/2013	jan	17.18	13.7	25.64	19.58	11.85
23/01/2013	jan	17.26	13.12	25.5	19.55	11.97
24/01/2013	jan	17.2	12.65	25.4	19.61	11.38
28/01/2013	jan	17.29	12.17	24.71	19.37	11.03
29/01/2013	jan	17.22	12.38	25.02	19.11	11.28
30/01/2013	jan	17.2	12.2	24.8	18.2	10.81
31/01/2013	jan	17.52	12.64	24.4	18.08	10.75
01/02/2013	fev	17.4	12.62	24.3	18.46	11.15
04/02/2013	fev	17.28	12.5	23.85	18	10.83
05/02/2013	fev	17.5	12.5	24.06	18.08	10.88
06/02/2013	fev	17.3	12.29	23.93	17.6	10.98
07/02/2013	fev	17.2	11.78	23.65	17.5	10.8
08/02/2013	fev	17.35	11.61	23.82	17.74	10.58
13/02/2013	fev	18.07	11.6	23.86	17.8	10.61
14/02/2013	fev	18.15	11.66	23.8	17.67	10.62
15/02/2013	fev	18.22	11.85	24.4	17.63	10.63
18/02/2013	fev	18.15	11.76	24.08	17.9	10.54
19/02/2013	fev	18.2	11.74	24.53	18.1	10.35
20/02/2013	fev	17.18	11.44	24.3	17.62	9.95
21/02/2013	fev	17.09	11.59	25.29	17.32	9.86
22/02/2013	fev	17.48	11.59	25.72	17.15	9.72
25/02/2013	fev	17.6	12	25.41	16.95	9.79
26/02/2013	fev	17.98	12.19	25.39	16.74	10
